city,lat,lon,temp,humidity,cloudiness,wind_speed
Narrabri,-30.33,149.78,63.02,58,92,3.38
Ponta do Sol,-20.63,-46,89.39,39,8,7.74
Sola,62.78,29.36,37.4,74,40,9.17
Sitka,37.17,-99.65,90.29,42,8,21.61
Narsaq,60.91,-46.05,41,32,75,6.93
Kununurra,-15.77,128.74,75.2,64,0,8.05
Hamilton,32.3,-64.78,80.6,69,40,17.22
Saint George,39.45,22.34,68,88,40,2.37
Pahrump,36.21,-115.98,77.77,36,1,14.99
Saskylakh,71.97,114.09,26.48,89,80,8.52
Codajas,-3.84,-62.06,87.86,78,20,4.61
Khatanga,71.98,102.47,30.17,92,88,12.77
Gondanglegi,-7.75,112.01,69.23,87,64,3.38
Noumea,-22.28,166.46,62.6,100,75,2.24
Tasiilaq,65.61,-37.64,32,100,20,1.12
Tamandare,-8.28,-70.75,89.75,60,76,2.59
Altagracia de Orituco,9.86,-66.38,94.52,47,24,10.98
Sassandra,4.95,-6.09,77.15,97,32,9.98
Shingu,33.72,135.99,72.74,100,100,10.65
Haputale,6.77,80.96,71.57,97,48,2.71
Quatre Cocos,-20.21,57.76,71.6,60,20,6.93
Changde,29.04,111.68,57.89,76,24,2.71
Pangnirtung,66.15,-65.72,28.4,58,90,4.7
Nombre de Dios,23.85,-104.24,66.2,63,5,0.92
Novyy Urengoy,66.08,76.63,40.7,94,92,14
Beloha,-25.17,45.06,68.33,82,0,8.63
Bogorodskoye,52.37,140.44,36.56,94,0,6.17
Selma,36.57,-119.61,69.71,83,90,5.82
Bria,6.54,21.99,68.42,94,0,2.93
Waipawa,-39.94,176.59,38.54,79,0,6.4
Touros,-5.2,-35.46,84.8,65,0,16.69
Nantucket,41.28,-70.1,62.2,96,90,8.05
Necochea,-38.55,-58.74,61.67,58,0,13.78
Tandil,-37.33,-59.14,63.11,49,0,14.9
Vao,59.1,26.19,44.3,97,88,3.38
Pouembout,-21.12,164.9,62.12,88,64,4.83
Tuatapere,-46.13,167.69,52.67,85,36,23.73
Arlit,18.74,7.39,92.45,23,88,2.82
Port Blair,11.67,92.75,86.6,96,68,5.73
Chuy,-33.69,-53.46,63.83,97,48,8.08
Luderitz,-26.65,15.16,70.13,57,0,8.97
Aranos,-24.14,19.11,75.08,18,0,13.56
Saint-Philippe,45.36,-73.48,52.18,96,90,4.16
Port Alberni,49.24,-124.81,46.4,75,90,5.82
Ambon,47.55,-2.56,64.4,68,0,3.36
Ratnagiri,16.98,73.3,83.45,98,12,12.55
Tuktoyaktuk,69.44,-133.03,21.2,92,90,13.87
Zhangye,38.94,100.46,39.26,56,0,9.08
Upernavik,72.79,-56.15,32.33,100,80,10.98
San Cristobal,-0.39,-78.55,64.4,52,75,13.87
Dwarka,28.58,77.04,84.2,66,40,5.82
